Package,CVE-ID,Links,Detection_ObjLupAnsys,Detection_ODGen,Detection_ODGen,Detection_Explode.js,Detection_FesaJS
@apollo/gateway 0.6.1,,,,,,TP,TP
@hapi/subtext 7.0.2,,,,,,TP,TP
101 1.6.3,CVE-2021-25943,https://www.mend.io/vulnerability-database/CVE-2021-25943,,,,TP,TP
algoliasearch-helper 3.6.0,CVE-2021-23433,https://security.snyk.io/vuln/SNYK-JS-ALGOLIASEARCHHELPER-1570421 https://github.com/advisories/GHSA-vpf5-82c8-9v36,,,,TP,TP
angular 1.7.8,,https://github.com/angular/angular.js/pull/16913/files,,,,TP,TP
arr-flatten-unflatten 1.1.4,CVE-2020-7713,https://security.snyk.io/vuln/SNYK-JS-ARRFLATTENUNFLATTEN-598396 https://github.com/advisories/GHSA-w8f3-pvx4-4c3h,FN,FN,FN,TP,TP
asciitable.js 1.0.2,CVE-2020-7771,https://security.snyk.io/vuln/SNYK-JS-ASCIITABLEJS-1039799 https://github.com/advisories/GHSA-5pxj-mhwj-x5gv,2s,2s,2s,TP,TP
assign-deep 0.4.6,,https://github.com/jonschlinkert/assign-deep/commit/19953a8c089b0328c470acaaaf6accdfcb34da11,2s,2s,2s,TP,TP
assign-deep 0.4.8,,https://snyk.io/vuln/SNYK-JS-ASSIGNDEEP-450211,2s,2s,2s,TP,TP
assign-deep 1.0.0,CVE-2019-10745,https://security.snyk.io/vuln/SNYK-JS-ASSIGNDEEP-450211 https://github.com/advisories/GHSA-66rh-8fw6-59q6,timed out,timed out,timed out,TP,TP
aurelia-path 1.1.7,CVE-2021-41097,https://security.snyk.io/vuln/SNYK-JS-AURELIAPATH-1292346 https://github.com/advisories/GHSA-3c9c-2p65-qvwv,,,,FN,TP
backbone-query-parameters 0.4.0,CVE-2021-20085,https://github.com/BlackFan/client-side-prototype-pollution/blob/master/pp/backbone-qp.md,FN,FN,FN,FN,TP
bmoor 0.8.11,CVE-2020-7736,https://security.snyk.io/vuln/SNYK-JS-BMOOR-598664 https://github.com/advisories/GHSA-h3rx-g5c9-8q4x,369s,369s,369s,TP,TP
bodymen 1.0.0,CVE-2022-25296,https://security.snyk.io/vuln/SNYK-JS-BODYMEN-2342623,FN,FN,FN,FN,FN
cached-path-relative 1.0.1,,https://hackerone.com/reports/390847,3s,3s,3s,TP,TP
casperjs 1.1.4,CVE-2020-7679,https://security.snyk.io/vuln/SNYK-JS-CASPERJS-572803,FN,FN,FN,TP,TP
changeset 0.1.0,CVE-2021-25915,https://security.snyk.io/vuln/SNYK-JS-CHANGESET-1083989 ,FN,FN,FN,FN,FN
chartkick 3.1.3,,https://github.com/ankane/chartkick.js/issues/117,timed out,timed out,timed out,TP,TP
component-flatten 1.0.1,CVE-2019-10794,https://security.snyk.io/vuln/SNYK-JS-COMPONENTFLATTEN-548907 ,2s,2s,2s,TP,TP
confucious 0.0.12,CVE-2020-7714,https://security.snyk.io/vuln/SNYK-JS-CONFUCIOUS-598665 https://github.com/advisories/GHSA-fmrr-mx6j-h3h5,,,,TP,TP
connie-lang 0.1.0,CVE-2020-7706,,,,,TP,TP
convict 6.0.0,,https://security.snyk.io/vuln/SNYK-JS-CONVICT-1062508 ,timed out,timed out,timed out,TP,TP
convict 6.2.2,CVE-2022-21190,https://security.snyk.io/vuln/SNYK-JS-CONVICT-2774757,timed out,timed out,timed out,TP,TP
copy-props 2.0.4,CVE-2020-28503,https://security.snyk.io/vuln/SNYK-JS-COPYPROPS-1082870 https://github.com/advisories/GHSA-897m-rjf5-jp39,timed out,timed out,timed out,TP,TP
deap 1.0.0,,https://hackerone.com/reports/310446,113s,113s,113s,TP,TP
decal 2.0.0,CVE-2020-28449,https://security.snyk.io/vuln/SNYK-JS-DECAL-1051007 https://github.com/advisories/GHSA-vp77-fqqp-79j8,,,,TP,TP
decal 2.1.3,CVE-2020-28450,https://security.snyk.io/vuln/SNYK-JS-DECAL-1051028 https://github.com/advisories/GHSA-j32x-j8pj-pg2h,,,,TP,TP
deep.assign 0.0.0-alpha.0,CVE-2021-40663,,,,,TP,TP
deep-defaults 1.0.5,CVE-2021-25944,https://www.whitesourcesoftware.com/vulnerability-database/CVE-2021-25944 ,,,,TP,TP
deep-extend 0.5.0,,,,,,TP,TP
deep-get-set 1.1.0,CVE-2020-7715,https://security.snyk.io/vuln/SNYK-JS-DEEPGETSET-598666 https://github.com/advisories/GHSA-85cp-p426-42f5,2s,2s,2s,TP,TP
deep-get-set 1.1.1,CVE-2022-21231,https://security.snyk.io/vuln/SNYK-JS-DEEPGETSET-2342655,2s,2s,2s,TP,TP
deephas 1.0.5,CVE-2020-28271,https://security.snyk.io/vuln/SNYK-JS-DEEPHAS-1039845 https://github.com/advisories/GHSA-4fr2-j4g9-mppf,FN,FN,FN,TP,TP
deeply 3.0.0,CVE-2019-10750,https://security.snyk.io/vuln/SNYK-JS-DEEPLY-451026 https://github.com/advisories/GHSA-8j4w-5fw4-rm27,6s,6s,6s,TP,TP
deepmergefn 1.1.0,CVE-2021-23417,https://security.snyk.io/vuln/SNYK-JS-DEEPMERGEFN-1310984 https://github.com/advisories/GHSA-vj72-mwrj-m2xq,timed out,timed out,timed out,TP,TP
deep-override 1.0.0,CVE-2021-25941,https://security.snyk.io/vuln/SNYK-JS-DEEPOVERRIDE-1292344 https://github.com/advisories/GHSA-v659-54cx-g4qr,,,,TP,TP
deep-override 1.0.1,CVE-2021-25941,https://github.com/ASaiAnudeep/deep-override/commit/2aced17651fb684959a6e04b1465a8329b3d5268,,,,TP,TP
deepref 1.1.1,CVE-2020-28274,https://security.snyk.io/vuln/SNYK-JS-DEEPREF-1049536 https://github.com/advisories/GHSA-7c7g-72q7-4xhm,,,,TP,TP
deeps 1.4.5,CVE-2020-7716,https://security.snyk.io/vuln/SNYK-JS-DEEPS-598667 https://github.com/advisories/GHSA-rgfv-v3jh-7ffp,101s,101s,101s,TP,TP
deep-set 1.0.0,CVE-2020-28276,https://security.snyk.io/vuln/SNYK-JS-DEEPSET-1054938 ,,,,TP,TP
deep-setter 1.0.1,,,,,,TP,TP
defaults-deep 0.2.0,CVE-2018-3723,https://hackerone.com/reports/310514 https://security.snyk.io/vuln/npm:defaults-deep:20180215 https://github.com/advisories/GHSA-cqp5-m4pq-gfgp,,,,TP,TP
defaults-deep 0.2.3,,https://hackerone.com/reports/310514,,,,TP,TP
defaults-deep 0.2.4,,https://hackerone.com/reports/380878,,,,TP,TP
dexie 3.2.1,CVE-2022-21189,https://security.snyk.io/vuln/SNYK-JAVA-ORGWEBJARSNPM-2805308,,,,TP,TP
doc-path 2.0.0,CVE-2020-7772,https://security.snyk.io/vuln/SNYK-JS-DOCPATH-1011952 https://github.com/advisories/GHSA-gm8g-xhh8-rmwr,,,,TP,TP
dot-notes 3.2.0,CVE-2020-7717,https://security.snyk.io/vuln/SNYK-JS-DOTNOTES-598668 https://github.com/advisories/GHSA-qr4m-jcvc-3382,,,,TP,TP
dot-object 2.1.2,CVE-2019-10793,https://security.snyk.io/vuln/SNYK-JS-DOTOBJECT-548905 ,,,,TP,TP
dot-prop 2.0.0,CVE-2020-8116,https://security.snyk.io/vuln/SNYK-JS-DOTPROP-543489 https://github.com/advisories/GHSA-ff7x-qrg7-qggm,,,,TP,TP
dot-prop 4.2.0,,https://hackerone.com/reports/719856,,,,TP,TP
dotty 0.0.1,CVE-2021-23624,https://security.snyk.io/vuln/SNYK-JS-DOTTY-1577292 https://github.com/advisories/GHSA-6g47-63mv-qpgh,,,,TP,TP
