Package,GHSA_ID,CVE-ID,Links,Detection_ObjLupAnsys,Detection_ODGen,Detection_Explode.js,Detection_FesaJS
@apollo/gateway 0.6.1,,,,timed out,timed out,TP,TP
@hapi/subtext 7.0.2,,,,timed out,timed out,TP,TP
101 1.6.3,,CVE-2021-25943,https://www.mend.io/vulnerability-database/CVE-2021-25943,FN,FN,TP,TP
algoliasearch-helper 3.6.0,,CVE-2021-23433,https://security.snyk.io/vuln/SNYK-JS-ALGOLIASEARCHHELPER-1570421 https://github.com/advisories/GHSA-vpf5-82c8-9v36,FN,FN,TP,TP
angular 1.7.8,,,https://github.com/angular/angular.js/pull/16913/files,FN,FN,TP,TP
arr-flatten-unflatten 1.1.4,,CVE-2020-7713,https://security.snyk.io/vuln/SNYK-JS-ARRFLATTENUNFLATTEN-598396 https://github.com/advisories/GHSA-w8f3-pvx4-4c3h,374s,119s,TP,TP
asciitable.js 1.0.2,,CVE-2020-7771,https://security.snyk.io/vuln/SNYK-JS-ASCIITABLEJS-1039799 https://github.com/advisories/GHSA-5pxj-mhwj-x5gv,timed out,timed out,TP,TP
assign-deep 0.4.6,,,https://github.com/jonschlinkert/assign-deep/commit/19953a8c089b0328c470acaaaf6accdfcb34da11,FN,FN,TP,TP
assign-deep 0.4.8,,,https://snyk.io/vuln/SNYK-JS-ASSIGNDEEP-450211,2s,9s,TP,TP
assign-deep 1.0.0,,CVE-2019-10745,https://security.snyk.io/vuln/SNYK-JS-ASSIGNDEEP-450211 https://github.com/advisories/GHSA-66rh-8fw6-59q6,2s,6s,TP,TP
aurelia-path 1.1.7,,CVE-2021-41097,https://security.snyk.io/vuln/SNYK-JS-AURELIAPATH-1292346 https://github.com/advisories/GHSA-3c9c-2p65-qvwv,2s,5s,FN,TP
backbone-query-parameters 0.4.0,,CVE-2021-20085,https://github.com/BlackFan/client-side-prototype-pollution/blob/master/pp/backbone-qp.md,timed out,timed out,FN,TP
bmoor 0.8.11,,CVE-2020-7736,https://security.snyk.io/vuln/SNYK-JS-BMOOR-598664 https://github.com/advisories/GHSA-h3rx-g5c9-8q4x,timed out,5s,TP,TP
bodymen 1.0.0,,CVE-2022-25296,https://security.snyk.io/vuln/SNYK-JS-BODYMEN-2342623,FN,FN,FN,FN
cached-path-relative 1.0.1,,,https://hackerone.com/reports/390847,369s,33s,TP,TP
casperjs 1.1.4,GHSA-vhxc-fhm5-qcp9,CVE-2020-7679,https://security.snyk.io/vuln/SNYK-JS-CASPERJS-572803,FN,3s,TP,TP
changeset 0.1.0,,CVE-2021-25915,https://security.snyk.io/vuln/SNYK-JS-CHANGESET-1083989 ,3s,2s,FN,FN
chartkick 3.1.3,,,https://github.com/ankane/chartkick.js/issues/117,FN,FN,TP,TP
component-flatten 1.0.1,,CVE-2019-10794,https://security.snyk.io/vuln/SNYK-JS-COMPONENTFLATTEN-548907 ,FN,FN,TP,TP
confucious 0.0.12,,CVE-2020-7714,https://security.snyk.io/vuln/SNYK-JS-CONFUCIOUS-598665 https://github.com/advisories/GHSA-fmrr-mx6j-h3h5,timed out,61s,TP,TP
connie-lang 0.1.0,,CVE-2020-7706,,2s,2s,TP,TP
convict 6.0.0,,,https://security.snyk.io/vuln/SNYK-JS-CONVICT-1062508 ,1s,1s,TP,TP
convict 6.2.2,,CVE-2022-21190,https://security.snyk.io/vuln/SNYK-JS-CONVICT-2774757,1s,1s,TP,TP
copy-props 2.0.4,,CVE-2020-28503,https://security.snyk.io/vuln/SNYK-JS-COPYPROPS-1082870 https://github.com/advisories/GHSA-897m-rjf5-jp39,timed out,timed out,TP,TP
deap 1.0.0,GHSA-jjf5-wx3j-3fv7,,https://hackerone.com/reports/310446,timed out,timed out,TP,TP
decal 2.0.0,,CVE-2020-28449,https://security.snyk.io/vuln/SNYK-JS-DECAL-1051007 https://github.com/advisories/GHSA-vp77-fqqp-79j8,timed out,timed out,TP,TP
decal 2.1.3,,CVE-2020-28450,https://security.snyk.io/vuln/SNYK-JS-DECAL-1051028 https://github.com/advisories/GHSA-j32x-j8pj-pg2h,113s,63s,TP,TP
deep.assign 0.0.0-alpha.0,,CVE-2021-40663,,timed out,timed out,TP,TP
deep-defaults 1.0.5,,CVE-2021-25944,https://www.whitesourcesoftware.com/vulnerability-database/CVE-2021-25944 ,timed out,timed out,TP,TP
deep-extend 0.5.0,GHSA-3829-mgmw-jcg4,,,"FN, with FP","FN, with FP",TP,TP
deep-get-set 1.1.0,,CVE-2020-7715,https://security.snyk.io/vuln/SNYK-JS-DEEPGETSET-598666 https://github.com/advisories/GHSA-85cp-p426-42f5,FN,FN,TP,TP
deep-get-set 1.1.1,,CVE-2022-21231,https://security.snyk.io/vuln/SNYK-JS-DEEPGETSET-2342655,55s,7s,TP,TP
deephas 1.0.5,,CVE-2020-28271,https://security.snyk.io/vuln/SNYK-JS-DEEPHAS-1039845 https://github.com/advisories/GHSA-4fr2-j4g9-mppf,2s,6s,TP,FN
deeply 3.0.0,GHSA-mjjj-6p43-vhhv,CVE-2019-10750,https://security.snyk.io/vuln/SNYK-JS-DEEPLY-451026 https://github.com/advisories/GHSA-8j4w-5fw4-rm27,2s,7s,TP,TP
deepmergefn 1.1.0,,CVE-2021-23417,https://security.snyk.io/vuln/SNYK-JS-DEEPMERGEFN-1310984 https://github.com/advisories/GHSA-vj72-mwrj-m2xq,FN,FN,TP,TP
deep-override 1.0.0,,CVE-2021-25941,https://security.snyk.io/vuln/SNYK-JS-DEEPOVERRIDE-1292344 https://github.com/advisories/GHSA-v659-54cx-g4qr,6s,59s,TP,TP
deep-override 1.0.1,,CVE-2021-25941,https://github.com/ASaiAnudeep/deep-override/commit/2aced17651fb684959a6e04b1465a8329b3d5268,timed out,4s,TP,TP
deepref 1.1.1,,CVE-2020-28274,https://security.snyk.io/vuln/SNYK-JS-DEEPREF-1049536 https://github.com/advisories/GHSA-7c7g-72q7-4xhm,FN,FN,TP,TP
deeps 1.4.5,,CVE-2020-7716,https://security.snyk.io/vuln/SNYK-JS-DEEPS-598667 https://github.com/advisories/GHSA-rgfv-v3jh-7ffp,FN,FN,TP,TP
deep-set 1.0.0,GHSA-7c7g-72q7-4xhm,CVE-2020-28276,https://security.snyk.io/vuln/SNYK-JS-DEEPSET-1054938 ,FN,FN,TP,TP
deep-setter 1.0.1,,,,101s,74s,TP,TP
defaults-deep 0.2.0,,CVE-2018-3723,https://hackerone.com/reports/310514 https://security.snyk.io/vuln/npm:defaults-deep:20180215 https://github.com/advisories/GHSA-cqp5-m4pq-gfgp,3s,2s,TP,TP
defaults-deep 0.2.3,,,https://hackerone.com/reports/310514,FN,FN,TP,TP
defaults-deep 0.2.4,,,https://hackerone.com/reports/380878,FN,FN,TP,TP
dexie 3.2.1,,CVE-2022-21189,https://security.snyk.io/vuln/SNYK-JAVA-ORGWEBJARSNPM-2805308,FN,FN,TP,TP
doc-path 2.0.0,,CVE-2020-7772,https://security.snyk.io/vuln/SNYK-JS-DOCPATH-1011952 https://github.com/advisories/GHSA-gm8g-xhh8-rmwr,FN,FN,TP,FN
dot-notes 3.2.0,GHSA-3xgx-r9j4-qw9w,CVE-2020-7717,https://security.snyk.io/vuln/SNYK-JS-DOTNOTES-598668 https://github.com/advisories/GHSA-qr4m-jcvc-3382,timed out,timed out,TP,TP
dot-object 2.1.2,,CVE-2019-10793,https://security.snyk.io/vuln/SNYK-JS-DOTOBJECT-548905 ,1s,1s,TP,TP
dot-prop 2.0.0,,CVE-2020-8116,https://security.snyk.io/vuln/SNYK-JS-DOTPROP-543489 https://github.com/advisories/GHSA-ff7x-qrg7-qggm,2s,2s,TP,TP
dot-prop 4.2.0,,,https://hackerone.com/reports/719856,2s,2s,TP,TP
dotty 0.0.1,,CVE-2021-23624,https://security.snyk.io/vuln/SNYK-JS-DOTTY-1577292 https://github.com/advisories/GHSA-6g47-63mv-qpgh,FN,FN,FN,TP
dotty 0.1.0,,CVE-2021-25912,https://www.mend.io/vulnerability-database/CVE-2021-25912,1s,1s,TP,TP
dset 1.0.0,,CVE-2020-28277,https://security.snyk.io/vuln/SNYK-JS-DSET-1054939 ,2s,1s,TP,TP
dset 3.1.1,,CVE-2022-25645,https://security.snyk.io/vuln/SNYK-JS-DSET-2330881,2s,1s,TP,TP
dynamoose 2.6.0,,CVE-2021-21304,https://github.com/dynamoose/dynamoose/commit/324c62b4709204955931a187362f8999805b1d8e,1s,1s,TP,TP
eivindfjeldstad-dot 0.0.1,GHSA-23wx-cgxq-vpwx,CVE-2020-7639,https://security.snyk.io/vuln/SNYK-JS-EIVINDFJELDSTADDOT-564434 ,"FN, with FP","FN, with FP",TP,TP
expand-hash 1.0.1,,CVE-2021-25948,https://security.snyk.io/vuln/SNYK-JS-EXPANDHASH-1303101 https://github.com/advisories/GHSA-x3wr-v4wx-5qpc,FN,timed out,FN,FN
extend 3.0.1,,,https://hackerone.com/reports/381185,1s,1s,TP,TP
extend-merge 1.0.5,,,https://security.snyk.io/vuln/SNYK-JS-EXTENDMERGE-609868 ,FN,1s,TP,TP
fast-json-patch 2.0.4,,,https://security.snyk.io/vuln/SNYK-JS-FASTJSONPATCH-595663 ,7s,4s,TP,TP
field 1.0.1,,CVE-2020-28269,https://security.snyk.io/vuln/SNYK-JS-FIELD-1039884 https://github.com/advisories/GHSA-hm82-qr45-h7mw,2s,2s,TP,TP
flat 5.0.0,,CVE-2021-25927,https://security.snyk.io/vuln/SNYK-JS-FLAT-596927 https://github.com/advisories/GHSA-33rv-m2gp-mm2r,timed out,timed out,FN,FN
flat-wrap 1.0.2,,,,2s,2s,FN,TP
gammautils 0.0.81,,CVE-2020-7718,https://security.snyk.io/vuln/SNYK-JS-GAMMAUTILS-598670 https://github.com/advisories/GHSA-pgmg-gf5p-54j8,timed out,timed out,FN,TP
gedi 1.6.3,,CVE-2020-7727,https://security.snyk.io/vuln/SNYK-JS-GEDI-598803 https://github.com/advisories/GHSA-jh2m-j8pp-55rc,FN,FN,FN,TP
getobject 0.1.0,,CVE-2020-28282,https://security.snyk.io/vuln/SNYK-JS-GETOBJECT-1054932 https://github.com/advisories/GHSA-957j-59c2-j692,33s,34s,FN,TP
getsetdeep 4.12.0,,,,1s,2s,TP,TP
getsetdeep 4.15.0,GHSA-957j-59c2-j692,,https://github.com/advisories/GHSA-8j49-49jq-vwcq ,1s,1s,TP,TP
get-setter 0.0.0,,,,FN,timed out,TP,TP
grunt-util-property 0.0.2,,CVE-2020-7641,https://security.snyk.io/vuln/SNYK-JS-GRUNTUTILPROPERTY-565088 ,FN,timed out,TP,TP
gsap 3.5.1,,CVE-2020-28478,,1s,1s,TP,TP
hoek 5.0.0,,CVE-2018-3728,https://security.snyk.io/vuln/npm:hoek:20180212 https://github.com/advisories/GHSA-jp4x-w63m-7wgm,FN,FN,TP,TP
hoek 5.0.2,,,https://snyk.io/vuln/npm:hoek:20180212,timed out,timed out,TP,TP
immer 8.0.0,,CVE-2020-28477,https://github.com/immerjs/immer/commit/da2bd4fa0edc9335543089fe7d290d6a346c40c5,3s,2s,TP,TP
ini 1.3.5,,CVE-2020-7788,https://security.snyk.io/vuln/SNYK-JS-INI-1048974 https://github.com/advisories/GHSA-qqgx-2p2h-9c37,"FN, with FP","FN, with FP",TP,TP
ini-parser 0.0.2,,,,timed out,timed out,FN,FN
iniparserjs 1.0.4,,CVE-2021-23328,https://security.snyk.io/vuln/SNYK-JS-INIPARSERJS-1065989 https://github.com/advisories/GHSA-2f6g-w5gj-c93h,timed out,timed out,FN,FN
inireader 1.0.0,,,https://security.snyk.io/vuln/SNYK-JS-INIREADER-1054843 ,1s,2s,TP,TP
ion-parser 0.5.2,,CVE-2020-28462,https://security.snyk.io/vuln/SNYK-JS-IONPARSER-1048971 ,3s,3s,TP,TP
jointjs 3.2.0,,CVE-2020-28480,https://security.snyk.io/vuln/SNYK-JAVA-ORGWEBJARSBOWER-1062037 https://security.snyk.io/vuln/SNYK-JAVA-ORGWEBJARSNPM-1062036 https://security.snyk.io/vuln/SNYK-JS-JOINTJS-1024444,"3s, TFP","3s, TFP",TP,TP
jquery 1.11.0,,CVE-2019-11358,https://security.snyk.io/vuln/SNYK-JS-JQUERY-174006 https://github.com/advisories/GHSA-6c3j-c64m-qhgq,FN,FN,TP,TP
js-extend 0.0.1,,CVE-2021-25945,https://security.snyk.io/vuln/SNYK-JS-JSEXTEND-1297101 https://github.com/advisories/GHSA-mh82-55cm-6gfh,timed out,timed out,TP,TP
jsgui-lang-essentials 0.4.3,,CVE-2022-25301,https://security.snyk.io/vuln/SNYK-JS-JSGUILANGESSENTIALS-2316897,timed out,timed out,TP,TP
json8-merge-patch 1.0.1,,CVE-2020-8268,https://security.snyk.io/vuln/SNYK-JS-JSON8MERGEPATCH-1038399 https://github.com/advisories/GHSA-8v9x-9xqg-r8mr,1s,1s,TP,TP
json8-merge-patch 1.0.2,GHSA-p3pg-64pv-v7jg,CVE-2020-8268,https://hackerone.com/reports/980649,FN,FN,TP,TP
json-bigint 0.4.0,,CVE-2020-8237,https://hackerone.com/reports/916430,timed out,timed out,TP,TP
json-pointer 0.6.0,GHSA-8v9x-9xqg-r8mr,CVE-2021-23820,https://security.snyk.io/vuln/SNYK-JS-JSONPOINTER-596925 https://github.com/advisories/GHSA-v5vg-g7rq-363w,timed out,timed out,FN,TP
json-pointer 0.6.1,,CVE-2021-23820,https://security.snyk.io/vuln/SNYK-JS-JSONPOINTER-1577287 https://github.com/advisories/GHSA-v5vg-g7rq-363w,timed out,timed out,FN,TP
jsonpointer 4.0.0,,CVE-2021-23807,https://security.snyk.io/vuln/SNYK-JS-JSONPOINTER-1577288 https://github.com/advisories/GHSA-282f-qqgm-c34q,2s,2s,TP,TP
json-ptr 1.1.0,,CVE-2021-23509,https://security.snyk.io/vuln/SNYK-JS-JSONPTR-1577291 https://github.com/advisories/GHSA-8gwj-8hxc-285w,2s,2s,TP,FN
json-schema 0.3.0,,CVE-2021-3918,https://huntr.dev/bounties/bb6ccd63-f505-4e3a-b55f-cd2662c261a9/ https://github.com/advisories/GHSA-896r-f27r-55mw https://security.snyk.io/vuln/SNYK-JS-JSONSCHEMA-1920922,FN,FN,TP,TP
just-extend 3.0.0,,,https://hackerone.com/reports/430291,10s,timed out,TP,TP
just-safe-set 1.0.0,, CVE-2021-25952,https://security.snyk.io/vuln/SNYK-JS-JUSTSAFESET-1316267 https://github.com/advisories/GHSA-v26w-gcxh-v4r7,timed out,timed out,TP,TP
keyd 1.3.4,,,https://security.snyk.io/vuln/SNYK-JS-KEYD-674472 ,timed out,timed out,TP,TP
keyget 2.2.0,GHSA-v26w-gcxh-v4r7,CVE-2020-28272,https://security.snyk.io/vuln/SNYK-JS-KEYGET-1048048 ,2s,2s,TP,TP
klona 1.1.0,,,,timed out,timed out,FN,FN
libnested 1.5.0,,CVE-2020-28283,https://security.snyk.io/vuln/SNYK-JS-LIBNESTED-1054930 https://github.com/advisories/GHSA-3r9x-mjrm-2725,1s,1s,TP,TP
libnested-1.5.1,,,https://security.snyk.io/vuln/SNYK-JS-LIBNESTED-2342117,timed out,timed out,TP,TP
linux-cmdline 1.0.0,,CVE-2020-7704,https://security.snyk.io/vuln/SNYK-JS-LINUXCMDLINE-598674 ,2s,1s,TP,TP
locutus 2.0.11,GHSA-x5m8-2r8v-8f97,CVE-2020-7719,https://security.snyk.io/vuln/SNYK-JS-LOCUTUS-598675,2s,2s,TP,TP
lodash 4.17.10,,CVE-2019-10744,https://security.snyk.io/vuln/SNYK-JS-LODASH-450202 https://github.com/advisories/GHSA-jf85-cpcp-j695,2s,2s,TP,TP
lodash 4.17.11,,,https://github.com/lodash/lodash/pull/4336/files,FN,FN,FN,TP
