Package,CVE-ID,Links
just-safe-set 1.0.0, CVE-2021-25952,https://security.snyk.io/vuln/SNYK-JS-JUSTSAFESET-1316267 https://github.com/advisories/GHSA-v26w-gcxh-v4r7
putil-merge 3.0.0, CVE-2021-25953,https://security.snyk.io/vuln/SNYK-JS-PUTILMERGE-1317077 https://github.com/advisories/GHSA-9x7m-9hpg-xxmw
lodash 4.17.9,CVE-2018-16487,https://hackerone.com/reports/380873 https://security.snyk.io/vuln/SNYK-JS-LODASH-73638 https://github.com/advisories/GHSA-h726-x36v-rx45
lodash 4.17.15,CVE-2018-3721 ,https://security.snyk.io/vuln/SNYK-JS-LODASH-608086 https://github.com/advisories/GHSA-fvqr-27wr-82fm
defaults-deep 0.2.0,CVE-2018-3723,https://hackerone.com/reports/310514 https://security.snyk.io/vuln/npm:defaults-deep:20180215 https://github.com/advisories/GHSA-cqp5-m4pq-gfgp
hoek 5.0.0,CVE-2018-3728,https://security.snyk.io/vuln/npm:hoek:20180212 https://github.com/advisories/GHSA-jp4x-w63m-7wgm
merge-objects 1.0.3,CVE-2018-3753,https://security.snyk.io/vuln/npm:merge-objects:20180415 https://github.com/advisories/GHSA-fp82-2h99-3fpp
lodash 4.17.10,CVE-2019-10744,https://security.snyk.io/vuln/SNYK-JS-LODASH-450202 https://github.com/advisories/GHSA-jf85-cpcp-j695
assign-deep 1.0.0,CVE-2019-10745,https://security.snyk.io/vuln/SNYK-JS-ASSIGNDEEP-450211 https://github.com/advisories/GHSA-66rh-8fw6-59q6
mixin-deep 2.0.0,CVE-2019-10746,https://security.snyk.io/vuln/SNYK-JS-MIXINDEEP-450212 https://github.com/advisories/GHSA-fhjf-83wg-r2j9
deeply 3.0.0,CVE-2019-10750,https://security.snyk.io/vuln/SNYK-JS-DEEPLY-451026 https://github.com/advisories/GHSA-8j4w-5fw4-rm27
dot-object 2.1.2,CVE-2019-10793,https://security.snyk.io/vuln/SNYK-JS-DOTOBJECT-548905 
component-flatten 1.0.1,CVE-2019-10794,https://security.snyk.io/vuln/SNYK-JS-COMPONENTFLATTEN-548907 
undefsafe 2.0.2,CVE-2019-10795,https://security.snyk.io/vuln/SNYK-JS-UNDEFSAFE-548940 
rdf-graph-array 0.3.0,CVE-2019-10798,https://security.snyk.io/vuln/SNYK-JS-RDFGRAPHARRAY-551803 https://github.com/advisories/GHSA-prv2-xwr7-hr57
vega-util 1.13.0,CVE-2019-10806,https://security.snyk.io/vuln/SNYK-JS-VEGAUTIL-559223 https://github.com/advisories/GHSA-6hwh-rqwf-cxxr
vega-util 1.13.0,CVE-2019-10806,https://security.snyk.io/vuln/SNYK-JS-VEGAUTIL-559223
utilitify 1.0.2,CVE-2019-10808,https://security.snyk.io/vuln/SNYK-JS-UTILITIFY-559497
jquery 1.11.0,CVE-2019-11358,https://security.snyk.io/vuln/SNYK-JS-JQUERY-174006 https://github.com/advisories/GHSA-6c3j-c64m-qhgq
object-path-set 1.0.0,CVE-2020-15256,https://security.snyk.io/vuln/SNYK-JS-OBJECTPATHSET-607908 https://github.com/advisories/GHSA-cwx2-736x-mf6w
object-path 0.11.4,CVE-2020-15256,https://security.snyk.io/vuln/SNYK-JS-OBJECTPATH-1017036 https://github.com/advisories/GHSA-v39p-96qg-c8rf https://hackerone.com/reports/878332
supermixer 1.0.3,CVE-2020-24939,https://security.snyk.io/vuln/SNYK-JS-SUPERMIXER-607909 https://github.com/advisories/GHSA-7prf-vw4p-qr59
set-1.0.0,CVE-2020-28267,https://www.mend.io/vulnerability-database/CVE-2020-28267
